Opponent,Game Result,Points (Tm),Opponent Points (Opp),Wins (W),Losses (L)
New York Knicks,W,132,109,1,0
Washington Wizards,W,122,102,2,0
Detroit Pistons,W,124,118,3,0
Milwaukee Bucks,W,119,108,4,0
Indiana Pacers,L,132,135,4,1
Charlotte Hornets,W,124,109,5,1
Charlotte Hornets,W,113,103,6,1
Atlanta Hawks,W,123,93,7,1
Golden State Warriors,L,112,118,7,2
Brooklyn Nets,W,108,104,8,2
Milwaukee Bucks,W,113,107,9,2
Atlanta Hawks,L,116,117,9,3
Brooklyn Nets,W,139,114,10,3
Toronto Raptors,W,126,123,11,3
Cleveland Cavaliers,W,120,117,12,3
Washington Wizards,W,108,96,13,3
Minnesota Timberwolves,W,107,105,14,3
Los Angeles Clippers,W,126,94,15,3
Chicago Bulls,W,138,129,16,3
Cleveland Cavaliers,L,111,115,16,4
Miami Heat,W,108,89,17,4
Detroit Pistons,W,130,120,18,4
Milwaukee Bucks,W,111,105,19,4
Memphis Grizzlies,L,121,127,19,5
Detroit Pistons,W,123,99,20,5
Washington Wizards,W,112,98,21,5
Chicago Bulls,L,108,117,21,6
Chicago Bulls,W,123,98,22,6
Orlando Magic,L,104,108,22,7
Philadelphia 76ers,L,114,118,22,8
Indiana Pacers,W,142,105,23,8
Indiana Pacers,L,114,123,23,9
Toronto Raptors,W,125,71,24,9
Minnesota Timberwolves,W,118,115,25,9
Houston Rockets,W,109,86,26,9
Oklahoma City Thunder,L,92,105,26,10
Denver Nuggets,W,118,106,27,10
Sacramento Kings,L,97,114,27,11
New Orleans Pelicans,W,120,119,28,11
Toronto Raptors,L,97,110,28,12
Orlando Magic,W,121,94,29,12
Atlanta Hawks,L,115,119,29,13
Golden State Warriors,W,125,85,30,13
Los Angeles Clippers,W,117,113,31,13
Los Angeles Lakers,L,96,117,31,14
Dallas Mavericks,W,122,107,32,14
Houston Rockets,L,112,114,32,15
Chicago Bulls,W,122,100,33,15
New Orleans Pelicans,W,118,116,34,15
Philadelphia 76ers,W,118,110,35,15
Cleveland Cavaliers,W,112,105,36,15
Dallas Mavericks,L,120,127,36,16
New York Knicks,W,131,104,37,16
Miami Heat,W,103,85,38,16
San Antonio Spurs,W,116,103,39,16
Philadelphia 76ers,W,124,104,40,16
New York Knicks,W,118,105,41,16
Toronto Raptors,W,111,101,42,16
Detroit Pistons,L,97,117,42,17
Cleveland Cavaliers,L,116,123,42,18
Denver Nuggets,W,110,103,43,18
Portland Trail Blazers,W,128,118,44,18
Philadelphia 76ers,W,123,105,45,18
Los Angeles Lakers,W,111,101,46,18
Utah Jazz,W,114,108,47,18
Oklahoma City Thunder,L,112,118,47,19
Miami Heat,W,103,91,48,19
Brooklyn Nets,W,115,113,49,19
Brooklyn Nets,W,104,96,50,19
Utah Jazz,W,121,99,51,19
Portland Trail Blazers,W,129,116,52,19
Sacramento Kings,W,113,95,53,19
Phoenix Suns,W,132,102,54,19
San Antonio Spurs,W,121,111,55,19
Memphis Grizzlies,W,117,103,56,19
Miami Heat,L,103,124,56,20
Phoenix Suns,W,123,103,57,20
Washington Wizards,W,124,90,58,20
New York Knicks,W,119,117,59,20
Orlando Magic,L,76,96,59,21
Charlotte Hornets,W,130,94,60,21
Charlotte Hornets,W,93,86,61,21
